y(м); P(Па); T(градС); alpha_w(y)(град); w(y)(м/с)
0; 100000; 15,75; 10; 3
79; 100000; 10,8; 30; 3
189; 98700; 12,0; 30; 3
200; 98570; 11,9; 22; 3
400; 96240; 9,4; 256; 8
541; 94610; 7,9; 238; 6
600; 93940; 7,3; 241; 8
718; 92600; 6,2; 246; 12
727; 92500; 6,2; 246; 12
800; 91680; 6,2; 247; 16
894; 90630; 6,2; 248; 21
1000; 89470; 5,9; 252; 22
1071; 88690; 5,7; 254; 23
1200; 87350; 5,0; 253; 19
1220; 87140; 4,9; 253; 18
1400; 85230; 3,8; 249; 18
1422; 85000; 3,7; 248; 18
1600; 83150; 2,8; 253; 19
1800; 81130; 1,8; 252; 20
2000; 79130; 1,2; 260; 19
2128; 77880; 0,6; 257; 19
2200; 77190; 0; 258; 19
2400; 75280; -1,9; 256; 19
2414; 75150; -2,1; 256; 19
2600; 73410; -3,2; 264; 20
2700; 72480; -3,6; 262; 22
2800; 71570; -3,6; 262; 22
2817; 71410; -3,6; 262; 22
2937; 70330; -4,1; 263; 22
2974; 70000; -4,2; 262; 22
3000; 69770; -4,3; 262; 22
3200; 68020; -5,1; 261; 23
3400; 66310; -6,3; 259; 24
3543; 65110; -6,9; 258; 24
3600; 64630; -7,5; 258; 24
3800; 62980; -9,4; 257; 25
4000; 61370; -10,9; 255; 25
4200; 59780; -13,2; 255; 26
4400; 58220; -15,3; 254; 26
4529; 57240; -16,6; 254; 27
4600; 56700; -16,8; 253; 27
4800; 55210; -18,1; 254; 28
4897; 54490; -18,9; 253; 28
5000; 53740; -19,8; 253; 29
5200; 52310; -20,8; 253; 31
5400; 50910; -21,7; 253; 33
5532; 50000; -22,8; 252; 34
5600; 49540; -23,3; 252; 35
5783; 48310; -24,4; 253; 38
5800; 48200; -24,4; 253; 38
6000; 46890; -25,1; 252; 43
6101; 46250; -24,9; 251; 45
6396; 44400; -27,5; 249; 48
6500; 43760; -28,6; 249; 50
6505; 43730; -28,7; 249; 50
6823; 41820; -29,9; 249; 50
7000; 40790; -32,7; 251; 52
7094; 40250; -34,2; 250; 52
7137; 40000; -34,4; 250; 52
7500; 37970; -36,3; 252; 52
7807; 36310; -39,7; 253; 52
7871; 35970; -42,2; 252; 52
8000; 35290; -42,4; 252; 52
8500; 32760; -45,1; 251; 53
8518; 32670; -45,1; 251; 53
8753; 31520; -49,7; 247; 55
9000; 30350; -50,5; 247; 55
9056; 30090; -50,8; 247; 55
9076; 30000; -50,8; 247; 55
9500; 28110; -49,9; 248; 55
10000; 26050; -47,7; 252; 51
10034; 25910; -47,3; 252; 51
10272; 25000; -47,6; 248; 49
10500; 24150; -48,0; 249; 47
10832; 22960; -47,4; 246; 43
10926; 22640; -48,1; 247; 42
11000; 22380; -48,5; 246; 41
11062; 22170; -48,8; 246; 41